,0
0,1
1,1
2,1
3,2
4,1
5,1
6,2
7,2
8,2
9,2
10,1
11,2
12,2
13,1
14,2
15,1
16,2
17,2
18,2
19,1
20,2
21,2
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,2
45,0
46,0
47,0
48,0
49,0
50,1
51,0
52,0
53,1
54,1
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,0
68,1
69,1
70,0
71,0
72,1
73,0
74,0
75,0
76,0
77,1
78,0
79,1
80,2
81,0
82,0
83,0
84,0
85,0
86,0
87,1
88,0
89,0
90,1
91,0
92,0
93,1
94,1
95,1
96,1
97,0
98,0
99,0
100,1
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,0
112,1
113,2
114,2
115,0
116,2
117,0
118,1
119,1
120,2
121,1
122,0
123,0
124,0
125,0
126,0
127,2
128,0
129,1
130,1
131,1
132,1
133,0
134,1
135,1
136,1
137,1
138,1
139,2
140,1
141,1
142,0
143,1
144,1
145,1
146,1
147,0
148,1
149,1
150,1
151,1
152,0
153,2
154,1
155,0
156,1
157,1
158,1
159,0
160,0
161,1
162,0
163,1
164,0
165,1
166,1
167,1
168,1
169,1
170,1
171,0
172,1
173,1
174,1
175,0
176,0
177,0
178,1
179,1
180,1
181,1
182,1
183,0
184,1
185,0
186,1
187,1
188,1
189,0
190,1
191,1
192,0
193,0
194,0
195,2
196,0
197,1
198,0
199,0
200,1
201,0
202,0
203,1
204,0
205,0
206,1
207,0
208,1
209,0
210,1
211,1
212,0
213,1
214,1
215,1
216,2
217,1
218,1
219,2
220,2
221,1
222,1
223,1
224,1
225,1
226,1
227,2
228,1
229,2
230,2
231,1
232,2
233,1
234,1
235,0
236,1
237,0
238,0
239,0
240,0
241,0
242,0
243,2
244,1
245,1
246,2
247,1
248,0
249,0
250,1
251,1
252,0
253,1
254,2
255,1
256,1
257,1
258,1
259,0
260,2
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,2
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,2
305,0
306,0
307,0
308,0
309,0
310,0
311,1
312,0
313,0
314,0
315,0
316,0
317,1
318,1
319,1
320,0
321,0
322,1
323,0
324,0
325,0
326,0
327,0
328,1
329,0
330,0
331,0
332,0
333,0
334,1
335,0
336,0
337,0
338,0
339,2
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,1
354,0
355,0
356,0
357,2
358,0
359,0
360,1
361,0
362,0
363,0
364,0
365,0
366,1
367,1
368,0
369,0
370,0
371,1
372,0
373,1
374,0
375,1
376,0
377,2
378,0
379,0
380,1
381,1
382,0
383,0
384,1
385,1
386,0
387,0
388,2
389,1
390,0
391,1
392,0
393,1
394,2
395,0
396,0
397,0
398,2
399,0
400,2
401,0
402,0
403,0
404,0
405,1
406,1
407,1
408,2
409,0
410,0
411,1
412,0
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,0
425,0
426,1
427,1
428,1
429,2
430,1
431,0
432,2
433,1
434,1
435,1
436,1
437,0
438,1
439,1
440,1
441,1
442,0
443,0
444,1
445,0
446,1
447,1
448,0
449,0
450,0
451,0
452,2
453,1
454,0
455,1
456,0
457,1
458,1
459,1
460,1
461,0
462,1
463,1
464,1
465,2
466,1
467,1
468,0
469,1
470,1
471,1
472,0
473,1
474,1
475,1
476,1
477,0
478,2
479,0
480,1
481,0
482,0
483,1
484,0
485,1
486,1
487,0
488,0
489,1
490,1
491,1
492,0
493,1
494,1
495,1
496,1
497,0
498,0
499,1
500,1
501,1
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,1
517,0
518,0
519,0
520,0
521,0
522,1
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,1
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,1
589,0
590,0
591,1
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,1
617,0
618,0
619,0
620,0
621,0
622,0
623,1
624,0
625,0
626,0
627,0
628,0
629,0
630,1
631,0
632,0
633,0
634,0
635,1
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,1
644,0
645,0
646,0
647,0
648,0
649,0
650,1
651,0
652,0
653,0
654,0
655,0
656,1
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,1
665,0
666,0
667,1
668,0
669,0
670,0
671,1
672,1
673,0
674,0
675,0
676,1
677,0
678,0
679,0
680,0
681,1
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,1
694,1
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,1
707,1
708,1
709,0
710,0
711,0
712,0
713,0
714,1
715,0
716,0
717,1
718,1
719,0
720,1
721,0
722,0
723,0
724,1
725,0
726,0
727,1
728,1
729,0
730,1
731,0
732,1
733,0
734,1
735,0
736,0
737,1
738,1
739,0
740,0
741,1
742,0
743,1
744,0
745,0
746,0
747,0
748,1
749,0
750,0
751,0
752,1
753,0
754,0
755,1
756,0
757,1
758,1
759,1
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,1
768,1
769,0
770,0
771,0
772,0
773,1
774,0
775,0
776,0
777,0
778,1
779,1
780,1
781,0
782,1
783,0
784,1
785,0
786,0
787,0
788,0
789,0
790,0
791,1
792,1
793,1
794,1
795,1
796,0
797,0
798,0
799,1
800,0
801,1
802,0
803,0
804,0
805,0
806,0
807,0
808,1
809,0
810,0
811,1
812,1
